ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_d_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_d_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_e_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_e_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_g_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_g_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_h_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_h_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_i_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_i_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_j_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_j_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_l_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop_100_l_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:one_stop
ocd-division/country:us/state:nc/county:cumberland/precinct:provisional_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:provisional
ocd-division/country:us/state:nc/county:cumberland/precinct:provisional_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:provisional
ocd-division/country:us/state:nc/county:cumberland/precinct:transfer_1-30	ocd-division/country:us/state:nc/county:cumberland/precinct:provisional
ocd-division/country:us/state:nc/county:cumberland/precinct:transfer_31-57	ocd-division/country:us/state:nc/county:cumberland/precinct:provisional
ocd-division/country:us/state:nc/county:forsyth/precinct:11	ocd-division/country:us/state:nc/county:forsyth/precinct:011
ocd-division/country:us/state:nc/county:forsyth/precinct:12	ocd-division/country:us/state:nc/county:forsyth/precinct:012
ocd-division/country:us/state:nc/county:forsyth/precinct:13	ocd-division/country:us/state:nc/county:forsyth/precinct:013
ocd-division/country:us/state:nc/county:forsyth/precinct:14	ocd-division/country:us/state:nc/county:forsyth/precinct:014
ocd-division/country:us/state:nc/county:forsyth/precinct:15	ocd-division/country:us/state:nc/county:forsyth/precinct:015
ocd-division/country:us/state:nc/county:forsyth/precinct:21	ocd-division/country:us/state:nc/county:forsyth/precinct:021
